ID,ten,quoc_gia,kinh_do,vi_do,thoi_gian,nhiet_do,do_am,ap_suat,huong_gio,toc_do_gio
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:25:02 2022,12.09,89,1019,40,7.72
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:25:02 2022,28.95,65,1009,130,4.63
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:25:12 2022,32.17,66,1006,200,5.14
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:25:12 2022,28.95,65,1009,130,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:25:22 2022,12.09,89,1019,40,7.72
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:25:22 2022,30.06,66,1008,20,3.09
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:25:32 2022,15.29,44,1017,100,5.66
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:25:33 2022,30.06,66,1008,20,3.09
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:25:42 2022,7.64,93,1021,210,2.06
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:25:43 2022,30.0,47,1007,162,4.13
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:25:52 2022,15.29,44,1017,100,5.66
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:25:53 2022,30.0,47,1007,162,4.13
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:26:02 2022,32.17,66,1006,200,5.14
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:26:03 2022,28.95,65,1009,130,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:26:12 2022,12.09,89,1019,40,7.72
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:26:13 2022,28.95,65,1009,130,4.63
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:26:22 2022,32.17,66,1006,200,5.14
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:26:23 2022,31.99,62,1007,60,1.54
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:26:32 2022,12.09,89,1019,40,7.72
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:26:33 2022,30.0,47,1007,162,4.13
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:26:42 2022,15.29,44,1017,100,5.66
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:26:43 2022,28.95,65,1009,130,4.63
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:26:52 2022,32.17,66,1006,200,5.14
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:26:53 2022,31.99,62,1007,60,1.54
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:27:02 2022,15.29,44,1017,100,5.66
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:27:03 2022,30.0,47,1007,162,4.13
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:27:12 2022,12.09,89,1019,40,7.72
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:27:13 2022,28.95,65,1009,130,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:27:22 2022,12.09,89,1019,40,7.72
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:27:23 2022,30.06,66,1008,20,3.09
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:27:32 2022,15.29,44,1017,100,5.66
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:27:33 2022,30.0,47,1007,162,4.13
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:27:42 2022,32.17,66,1006,200,5.14
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:27:43 2022,30.0,47,1007,162,4.13
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:27:52 2022,32.17,66,1006,200,5.14
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:27:53 2022,30.0,47,1007,162,4.13
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:28:02 2022,7.43,94,1021,214,1.09
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:28:03 2022,30.0,47,1007,162,4.13
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:28:12 2022,32.17,66,1006,200,5.14
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:28:13 2022,30.0,47,1007,162,4.13
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:28:22 2022,7.43,94,1021,214,1.09
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:28:23 2022,28.95,65,1009,130,4.63
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:28:32 2022,7.43,94,1021,214,1.09
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:28:33 2022,30.0,47,1007,162,4.13
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:28:42 2022,32.17,66,1006,200,5.14
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:28:43 2022,30.0,47,1007,162,4.13
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:28:52 2022,12.04,88,1019,40,7.72
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:28:53 2022,30.0,47,1007,162,4.13
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:29:02 2022,12.04,88,1019,40,7.72
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:29:03 2022,30.06,66,1008,20,3.09
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:29:12 2022,15.29,44,1017,100,5.66
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:29:13 2022,31.99,62,1007,60,1.54
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:29:22 2022,12.04,88,1019,40,7.72
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:29:23 2022,31.99,62,1007,60,1.54
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:29:32 2022,32.17,66,1006,200,5.14
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:29:33 2022,28.95,65,1009,130,4.63
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:29:42 2022,32.17,66,1006,200,5.14
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:29:43 2022,30.06,66,1008,20,3.09
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:29:52 2022,12.04,88,1019,40,7.72
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:29:53 2022,31.99,62,1007,60,1.54
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:30:02 2022,15.29,44,1017,100,5.66
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:30:03 2022,30.0,47,1007,162,4.13
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:30:12 2022,15.29,44,1017,100,5.66
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:30:13 2022,30.0,47,1007,162,4.13
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:30:22 2022,7.43,94,1021,214,1.09
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:30:23 2022,30.06,66,1008,20,3.09
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:30:32 2022,32.17,66,1006,200,5.14
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:30:33 2022,28.95,65,1009,130,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:30:42 2022,12.04,88,1019,40,7.72
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:30:43 2022,30.06,66,1008,20,3.09
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:30:52 2022,32.17,66,1006,200,5.14
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:30:53 2022,28.95,65,1009,130,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:31:02 2022,12.04,88,1019,40,7.72
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:31:03 2022,30.0,47,1007,162,4.13
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:31:12 2022,12.04,88,1019,40,7.72
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:31:13 2022,30.0,47,1007,162,4.13
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:31:22 2022,7.43,94,1021,214,1.09
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:31:23 2022,30.06,66,1008,20,3.09
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:31:32 2022,32.17,66,1006,200,5.14
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:31:33 2022,28.95,65,1009,130,4.63
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:31:42 2022,14.67,49,1017,100,5.66
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:31:43 2022,30.0,47,1007,162,4.13
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:31:52 2022,7.43,94,1021,214,1.09
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:31:53 2022,28.95,65,1009,130,4.63
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:32:02 2022,32.17,66,1006,200,5.14
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:32:03 2022,30.06,66,1008,20,3.09
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:32:12 2022,32.17,66,1006,200,5.14
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:32:13 2022,31.99,62,1007,60,1.54
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:32:22 2022,7.43,94,1021,214,1.09
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:32:23 2022,31.99,62,1007,60,1.54
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:32:32 2022,7.43,94,1021,214,1.09
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:32:33 2022,31.99,62,1007,60,1.54
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:32:42 2022,7.43,94,1021,214,1.09
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:32:43 2022,30.06,66,1008,20,3.09
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:32:52 2022,14.67,49,1017,100,5.66
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:32:53 2022,30.06,66,1008,20,3.09
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:33:02 2022,32.17,66,1006,200,5.14
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:33:03 2022,30.06,66,1008,20,3.09
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:33:12 2022,14.67,49,1017,100,5.66
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:33:13 2022,31.99,62,1007,60,1.54
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:33:22 2022,32.17,66,1006,200,5.14
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:33:23 2022,31.99,62,1007,60,1.54
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:33:32 2022,14.67,49,1017,100,5.66
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:33:33 2022,30.0,47,1007,162,4.13
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:33:42 2022,12.04,88,1019,40,7.72
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:33:43 2022,31.99,62,1007,60,1.54
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:33:52 2022,7.43,94,1021,214,1.09
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:33:53 2022,30.0,47,1007,162,4.13
